,Day,ParameterName,ReportingArea,Category_17,Category_18,Latitude,Longitude,Date_17,Date_18,AQI17,AQI18,AQI_Delta,AQI_DeltaP
93,13 ,PM2.5,Oakland,Unhealthy,Moderate,37.8,-122.27,2017-10-13 ,2018-10-13 ,159,54,-105,294.44444444444446
94,13 ,PM2.5,Redwood City,Unhealthy,Good,37.48,-122.22,2017-10-13 ,2018-10-13 ,152,39,-113,389.7435897435897
95,13 ,PM2.5,San Francisco,Moderate,Good,37.75,-122.43,2017-10-13 ,2018-10-13 ,98,41,-57,239.02439024390242
96,13 ,PM2.5,San Jose,Unhealthy for Sensitive Groups,Good,37.33,-121.9,2017-10-13 ,2018-10-13 ,136,23,-113,591.3043478260869
97,13 ,PM2.5,San Rafael,Unhealthy for Sensitive Groups,Good,37.97,-122.52,2017-10-13 ,2018-10-13 ,111,39,-72,284.61538461538464
98,13 ,PM2.5,Santa Rosa,Moderate,Good,38.45,-122.7,2017-10-13 ,2018-10-13 ,96,6,-90,1600.0
99,13 ,PM2.5,Vacaville,Moderate,Good,38.3525,-121.9617,2017-10-13 ,2018-10-13 ,52,16,-36,325.0
100,14 ,OZONE,Concord,Good,Good,37.97,-122.03,2017-10-14 ,2018-10-14 ,39,30,-9,130.0
101,14 ,OZONE,Davis,Good,Good,38.5448,-121.7411,2017-10-14 ,2018-10-14 ,34,34,0,100.0
102,14 ,OZONE,Fairfield,Good,Good,38.25,-122.04,2017-10-14 ,2018-10-14 ,41,40,-1,102.49999999999999
103,14 ,OZONE,Fremont,Good,Good,37.55,-122.03,2017-10-14 ,2018-10-14 ,44,36,-8,122.22222222222223
104,14 ,OZONE,Oakland,Good,Good,37.8,-122.27,2017-10-14 ,2018-10-14 ,37,32,-5,115.625
105,14 ,OZONE,Redwood City,Good,Good,37.48,-122.22,2017-10-14 ,2018-10-14 ,38,31,-7,122.58064516129032
106,14 ,OZONE,San Francisco,Good,Good,37.75,-122.43,2017-10-14 ,2018-10-14 ,31,31,0,100.0
107,14 ,OZONE,San Jose,Good,Good,37.33,-121.9,2017-10-14 ,2018-10-14 ,43,41,-2,104.8780487804878
108,14 ,OZONE,San Rafael,Good,Good,37.97,-122.52,2017-10-14 ,2018-10-14 ,44,31,-13,141.93548387096774
109,14 ,OZONE,Santa Rosa,Good,Good,38.45,-122.7,2017-10-14 ,2018-10-14 ,43,29,-14,148.27586206896552
110,14 ,OZONE,Stockton,Good,Good,37.9699,-121.3067,2017-10-14 ,2018-10-14 ,38,36,-2,105.55555555555556
111,14 ,PM2.5,Concord,Moderate,Good,37.97,-122.03,2017-10-14 ,2018-10-14 ,91,22,-69,413.6363636363637
112,14 ,PM2.5,Davis,Good,Good,38.5448,-121.7411,2017-10-14 ,2018-10-14 ,29,20,-9,145.0
113,14 ,PM2.5,Fremont,Moderate,Good,37.55,-122.03,2017-10-14 ,2018-10-14 ,78,48,-30,162.5
114,14 ,PM2.5,Oakland,Moderate,Moderate,37.8,-122.27,2017-10-14 ,2018-10-14 ,84,59,-25,142.3728813559322
115,14 ,PM2.5,Redwood City,Moderate,Good,37.48,-122.22,2017-10-14 ,2018-10-14 ,78,48,-30,162.5
116,14 ,PM2.5,San Francisco,Moderate,Good,37.75,-122.43,2017-10-14 ,2018-10-14 ,69,48,-21,143.75
117,14 ,PM2.5,San Jose,Moderate,Good,37.33,-121.9,2017-10-14 ,2018-10-14 ,84,32,-52,262.5
118,14 ,PM2.5,San Rafael,Moderate,Good,37.97,-122.52,2017-10-14 ,2018-10-14 ,80,38,-42,210.52631578947367
119,14 ,PM2.5,Stockton,Moderate,Good,37.9699,-121.3067,2017-10-14 ,2018-10-14 ,60,39,-21,153.84615384615387
120,15 ,OZONE,Concord,Moderate,Good,37.97,-122.03,2017-10-15 ,2018-10-15 ,54,33,-21,163.63636363636365
121,15 ,OZONE,Fairfield,Moderate,Good,38.25,-122.04,2017-10-15 ,2018-10-15 ,64,41,-23,156.09756097560975
122,15 ,OZONE,Fremont,Moderate,Good,37.55,-122.03,2017-10-15 ,2018-10-15 ,71,39,-32,182.05128205128204
123,15 ,OZONE,Livermore,Moderate,Good,37.68,-121.77,2017-10-15 ,2018-10-15 ,74,40,-34,185.0
124,15 ,OZONE,Oakland,Good,Good,37.8,-122.27,2017-10-15 ,2018-10-15 ,49,34,-15,144.11764705882354
125,15 ,OZONE,Redwood City,Moderate,Good,37.48,-122.22,2017-10-15 ,2018-10-15 ,58,38,-20,152.63157894736844
126,15 ,OZONE,San Francisco,Good,Good,37.75,-122.43,2017-10-15 ,2018-10-15 ,31,38,7,81.57894736842105
127,15 ,OZONE,San Jose,Moderate,Good,37.33,-121.9,2017-10-15 ,2018-10-15 ,67,41,-26,163.41463414634146
128,15 ,OZONE,San Rafael,Good,Good,37.97,-122.52,2017-10-15 ,2018-10-15 ,43,41,-2,104.8780487804878
129,15 ,OZONE,Santa Rosa,Good,Good,38.45,-122.7,2017-10-15 ,2018-10-15 ,49,41,-8,119.51219512195121
130,15 ,OZONE,Vacaville,Good,Good,38.3525,-121.9617,2017-10-15 ,2018-10-15 ,42,42,0,100.0
131,15 ,PM2.5,Concord,Moderate,Good,37.97,-122.03,2017-10-15 ,2018-10-15 ,55,9,-46,611.1111111111111
132,15 ,PM2.5,Fremont,Good,Good,37.55,-122.03,2017-10-15 ,2018-10-15 ,40,20,-20,200.0
133,15 ,PM2.5,Livermore,Good,Good,37.68,-121.77,2017-10-15 ,2018-10-15 ,40,16,-24,250.0
134,15 ,PM2.5,Napa,Unhealthy,Good,38.33,-122.28,2017-10-15 ,2018-10-15 ,153,13,-140,1176.923076923077
135,15 ,PM2.5,Oakland,Moderate,Good,37.8,-122.27,2017-10-15 ,2018-10-15 ,53,19,-34,278.9473684210526
136,15 ,PM2.5,Redwood City,Good,Good,37.48,-122.22,2017-10-15 ,2018-10-15 ,40,20,-20,200.0
137,15 ,PM2.5,Rio Vista,Moderate,Good,38.2183,-121.77,2017-10-15 ,2018-10-15 ,56,15,-41,373.3333333333333
138,15 ,PM2.5,San Francisco,Good,Good,37.75,-122.43,2017-10-15 ,2018-10-15 ,40,30,-10,133.33333333333331
139,15 ,PM2.5,San Jose,Good,Good,37.33,-121.9,2017-10-15 ,2018-10-15 ,40,25,-15,160.0
140,15 ,PM2.5,San Rafael,Good,Good,37.97,-122.52,2017-10-15 ,2018-10-15 ,41,19,-22,215.78947368421052
141,15 ,PM2.5,Santa Rosa,Moderate,Good,38.45,-122.7,2017-10-15 ,2018-10-15 ,67,4,-63,1675.0
142,15 ,PM2.5,Vacaville,Good,Good,38.3525,-121.9617,2017-10-15 ,2018-10-15 ,19,6,-13,316.66666666666663
