,zip,AQI,Category,DateObserved,HourObserved,Latitude,LocalTimeZone,Longitude,ParameterName,ReportingArea,StateCode
97,94065,33,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.48,PST,-122.22,PM2.5,Redwood City,CA
98,94946,28,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,37.97,PST,-122.52,OZONE,San Rafael,CA
99,94946,39,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,37.97,PST,-122.52,PM2.5,San Rafael,CA
100,94927,29,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,38.45,PST,-122.7,OZONE,Santa Rosa,CA
101,94575,34,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.8,PST,-122.27,OZONE,Oakland,CA
102,94575,19,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.8,PST,-122.27,PM2.5,Oakland,CA
103,95071,41,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.33,PST,-121.9,OZONE,San Jose,CA
104,95071,25,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
105,94103,28,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,37.75,PST,-122.43,OZONE,San Francisco,CA
106,94103,27,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,37.75,PST,-122.43,PM2.5,San Francisco,CA
107,94942,27,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,37.97,PST,-122.52,OZONE,San Rafael,CA
108,94942,33,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,37.97,PST,-122.52,PM2.5,San Rafael,CA
109,94801,28,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.97,PST,-122.52,OZONE,San Rafael,CA
110,94801,32,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.97,PST,-122.52,PM2.5,San Rafael,CA
111,94703,25,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.8,PST,-122.27,OZONE,Oakland,CA
112,94703,44,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.8,PST,-122.27,PM2.5,Oakland,CA
113,94710,28,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,37.8,PST,-122.27,OZONE,Oakland,CA
114,94710,54,"{'Number': 2, 'Name': 'Moderate'}",2018-10-13 ,0,37.8,PST,-122.27,PM2.5,Oakland,CA
115,94564,31,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,37.97,PST,-122.52,OZONE,San Rafael,CA
116,94564,38,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,37.97,PST,-122.52,PM2.5,San Rafael,CA
117,94971,41,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.97,PST,-122.52,OZONE,San Rafael,CA
118,94971,19,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.97,PST,-122.52,PM2.5,San Rafael,CA
119,94002,38,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.48,PST,-122.22,OZONE,Redwood City,CA
120,94002,20,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.48,PST,-122.22,PM2.5,Redwood City,CA
121,94609,24,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,37.8,PST,-122.27,OZONE,Oakland,CA
122,94609,46,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,37.8,PST,-122.27,PM2.5,Oakland,CA
123,95403,30,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,38.45,PST,-122.7,OZONE,Santa Rosa,CA
124,95403,10,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,38.45,PST,-122.7,PM2.5,Santa Rosa,CA
125,95112,39,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.33,PST,-121.9,OZONE,San Jose,CA
126,95112,28,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
127,94503,39,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,38.33,PST,-122.28,OZONE,Napa,CA
128,94305,26,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,37.48,PST,-122.22,OZONE,Redwood City,CA
129,94305,39,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,37.48,PST,-122.22,PM2.5,Redwood City,CA
130,95052,41,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,37.33,PST,-121.9,OZONE,San Jose,CA
131,95052,32,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
132,94085,41,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.33,PST,-121.9,OZONE,San Jose,CA
133,94085,25,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
