,zip,AQI,Category,DateObserved,Latitude,Longitude,ParameterName,ReportingArea,StateCode,type,coordinates,geometry
1379,95461,49,Good,2017-10-15,38.45,-122.7,OZONE,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
1380,95461,67,Moderate,2017-10-15,38.45,-122.7,PM2.5,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
1381,94164,31,Good,2017-10-15,37.75,-122.43,OZONE,San Francisco,CA,Point,"[37.75, -122.43]","['Point', [37.75, -122.43]]"
1382,94164,40,Good,2017-10-15,37.75,-122.43,PM2.5,San Francisco,CA,Point,"[37.75, -122.43]","['Point', [37.75, -122.43]]"
1383,95391,47,Good,2017-10-09,37.68,-121.77,OZONE,Livermore,CA,Point,"[37.68, -121.77]","['Point', [37.68, -121.77]]"
1384,95391,66,Moderate,2017-10-09,37.68,-121.77,PM2.5,Livermore,CA,Point,"[37.68, -121.77]","['Point', [37.68, -121.77]]"
1385,95487,64,Moderate,2017-10-10,38.33,-122.28,OZONE,Napa,CA,Point,"[38.33, -122.28]","['Point', [38.33, -122.28]]"
1386,95487,221,Very Unhealthy,2017-10-10,38.33,-122.28,PM2.5,Napa,CA,Point,"[38.33, -122.28]","['Point', [38.33, -122.28]]"
1387,95150,54,Moderate,2017-10-11,37.33,-121.9,OZONE,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1388,95150,114,Unhealthy for Sensitive Groups,2017-10-11,37.33,-121.9,PM2.5,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1389,94606,40,Good,2017-10-12,37.8,-122.27,OZONE,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1390,94606,152,Unhealthy,2017-10-12,37.8,-122.27,PM2.5,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1391,94621,45,Good,2017-10-13,37.8,-122.27,OZONE,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1392,94621,159,Unhealthy,2017-10-13,37.8,-122.27,PM2.5,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1393,94976,44,Good,2017-10-14,37.97,-122.52,OZONE,San Rafael,CA,Point,"[37.97, -122.52]","['Point', [37.97, -122.52]]"
1394,94976,80,Moderate,2017-10-14,37.97,-122.52,PM2.5,San Rafael,CA,Point,"[37.97, -122.52]","['Point', [37.97, -122.52]]"
